Time,Country,Access to clean fuels and technologies for cooking,GDP per capita (constant 2015 US$),"Life expectancy at birth, total (years) ","Literacy rate, adult total",Access to electricity,"Employment to population ratio, 15+",CO2 emissions ,Mobile cellular subscriptions ,Poverty headcount ratio at $2.15 a day 
1994,Andorra,,28144.38762,,,100,,6.663237053,1.284466799,
1994,Austria,,32962.81742,76.4195122,,100,56.975,7.344674059,3.505812272,0.2
1994,Burundi,,408.4193162,44.08,,,,0.037698643,0.006766423,
1994,Cameroon,,1048.987213,53.528,,34.99950409,,0.359510438,0.012452465,
1994,"Gambia, The",,633.5704196,54.721,,18.25004959,,0.171824441,0.067336605,
1994,Iceland,,,79.24707317,,100,75.151,7.85892843,8.205496124,
1994,"Korea, Dem. People's Rep.",,,70.718,,,,3.782481291,0,
1994,"Korea, Rep.",,12358.51802,73.39756098,,99.98912048,60.062,7.936041185,2.126074209,
1994,Malta,,11689.76554,76.49985366,,100,,6.688954287,1.981176185,
1994,Moldova,,,65.07,,100,,4.764210629,0,
1994,New Caledonia,,,70.67317073,,99.96508026,,,0,
1994,Norway,,56343.01054,77.6897561,,100,64.85,7.935317263,13.56959375,
1994,Portugal,,15193.05474,74.91463415,,100,54.527,4.734302321,1.731944488,
1994,Somalia,,,50.327,,,,0.090964892,0,
1994,Bhutan,,892.6324124,58.635,,,,0.395004412,0,
1994,Ghana,,915.2893077,56.112,,30.36940575,,0.171036029,0.019576484,
1994,Canada,,32087.02853,77.87170732,,100,58.382,15.06050396,6.437896665,1
1994,Guinea,,562.316641,49.171,,,,0.154486739,0.01118132,40.8
1995,Andorra,,28051.4032,,,100,,6.754131706,4.489257564,
1995,Austria,,33790.48499,76.66829268,,100,56.846,7.698069947,4.825981063,0
1995,Burundi,,354.1161809,44.059,,,,0.036559571,0.0095065,
1995,Cameroon,,1049.706663,53.222,,36.14777374,,0.354195052,0.021193421,
1995,"Gambia, The",,620.4930816,55.464,,19.92144394,,0.174615889,0.116088572,
1995,Iceland,,34188.35059,77.98439024,,100,77.975,7.481792214,11.53724022,
1995,"Korea, Dem. People's Rep.",,,60.894,,,,3.495216733,0,
1995,"Korea, Rep.",,13411.11192,73.7,,100,60.657,8.546915861,3.615707017,
1995,Malta,,12344.82635,77.2902439,87.86869812,100,,6.302809345,2.825993589,
1995,Moldova,,1512.157196,65.099,,100,,4.111302993,0.000313815,
1995,New Caledonia,,,72.0097561,,100,,,0.413117611,
1995,Norway,,58380.56847,77.73658537,,100,65.04,7.888907649,22.5104391,0.5
1995,Portugal,,15788.98311,75.31219512,,100,54.03,5.056085191,3.391071437,
1995,Somalia,,,50.6,,,,0.08296988,0,
1995,Bhutan,,944.4075556,59.516,,,,0.466375754,0,
1995,Ghana,,931.1804337,56.565,,32.4504509,,0.182603533,0.035552754,
1995,Canada,,32612.23203,77.97731707,,100,58.673,15.29046634,8.842031473,0.7
1995,Guinea,,571.9827514,49.866,,,,0.155523036,0.012720352,
1996,Andorra,,28797.86673,,,100,,7.08273185,8.555349432,
1996,Austria,,34537.73957,76.87073171,,100,55.722,8.15463769,7.523308814,0
1996,Burundi,,325.9119164,44.373,,,,0.037652767,0.009459562,
1996,Cameroon,,1064.646045,52.82,,37.29332352,62.84,0.350297348,0.025782073,50.4
1996,"Gambia, The",,615.9839026,56.009,,21.59011841,,0.171921787,0.242050865,
1996,Iceland,,35557.27725,78.77780488,,100,78.236,8.429100537,17.39083586,
1996,"Korea, Dem. People's Rep.",,,60.956,,,,3.036147805,0,
1996,"Korea, Rep.",,14332.13672,74.15121951,,100,60.834,9.005890673,6.966660745,
1996,Malta,,12727.29915,77.34146341,,100,,6.118108474,3.24448632,
1996,Moldova,,1426.139375,64.241,,100,38.45,3.529577819,0.02076658,
1996,New Caledonia,,,71.99756098,96.13791656,100,41.46,,1.009378399,
1996,Norway,,61005.90835,78.1504878,,100,67.488,7.896472674,28.79018877,
1996,Portugal,,16280.93715,75.26097561,,100,53.511,4.843279648,6.578849672,
1996,Somalia,,,50.447,,,,0.076976092,0,
1996,Bhutan,,978.49497,60.212,,,,0.551745694,0,
1996,Ghana,,951.9227951,56.82,,34.52877045,,0.195208364,0.071542215,
1996,Canada,,32795.66535,78.2202439,,100,58.451,15.59261401,11.81927704,0.2
1996,Guinea,,580.8000659,50.544,20.55374908,,,0.160143379,0.012364775,
1997,Andorra,,31149.37029,,,100,,7.194088,13.32364491,
1997,Austria,,35220.88774,77.3195122,,100,55.426,8.06021204,14.5561248,0.2
1997,Burundi,,321.0896907,45.387,,,,0.038184549,0.010449264,
1997,Cameroon,,1083.64161,52.737,,38.4354744,,0.348779634,0.030126572,
1997,"Gambia, The",,627.5563464,56.06,,23.25539207,,0.174107556,0.359452757,
1997,Iceland,,37302.66803,78.88536585,,100,77.079,7.94447641,24.08938811,
1997,"Korea, Dem. People's Rep.",,,60.974,,,,2.892925962,0,
1997,"Korea, Rep.",,15074.48834,74.60243902,,100,60.867,9.392904753,14.96611806,
1997,Malta,,13295.37065,77.73902439,,100,,6.451562341,4.549709648,
1997,Moldova,,1454.999977,65.172,,100,,3.262620074,0.050070668,13
1997,New Caledonia,,,71.73902439,,100,,,2.493990529,
1997,Norway,,63882.4765,78.14268293,,100,69.318,8.295618068,38.06210834,
1997,Portugal,,16921.72194,75.41219512,,100,53.947,5.038254613,14.87538336,
1997,Somalia,,,50.195,,,,0.070685011,0,
1997,Bhutan,,1013.40931,60.852,,,,0.697009317,0,
1997,Ghana,,968.8460383,57.199,,36.60369492,,0.197317282,0.119695381,
1997,Canada,,33861.1471,78.41243902,,100,58.968,15.94384836,14.03819836,0.2
1997,Guinea,,598.4561102,51.356,,,,0.164469196,0.036568544,
1998,Andorra,,31895.99577,,,100,,7.531924033,21.65649066,
1998,Austria,,36442.28823,77.67073171,,100,55.598,8.107660865,28.74798987,0.2
1998,Burundi,,330.1289307,46.552,,3.9,84.9,0.038523099,0.010272826,79.4
1998,Cameroon,,1105.245204,52.582,,40.7,,0.352123032,0.034929378,
1998,"Gambia, The",,630.7529454,56.554,,24.91658783,,0.18057955,0.372219506,74.1
1998,Iceland,,39622.60698,79.60243902,,100,78.824,7.857703241,38.01884901,
1998,"Korea, Dem. People's Rep.",,,60.906,,,,2.645915702,0,
1998,"Korea, Rep.",,14198.38627,75.00487805,,100,56.399,7.919526779,30.31034269,
1998,Malta,,13886.29236,77.58780488,,100,,6.162938277,5.740645431,
1998,Moldova,,1360.360525,65.505,,100,44.96,2.946654552,0.160788913,24
1998,New Caledonia,,,74.37560976,,100,,,6.129086841,
1998,Norway,,65197.94631,78.32926829,,100,71.104,8.54965763,46.75432049,
1998,Portugal,,17645.90583,75.71219512,,100,57.778,5.47239443,30.20441744,
1998,Somalia,,,50.66,,,,0.064330257,0,
1998,Bhutan,,1053.54196,61.549,,,,0.677420339,0,
1998,Ghana,,990.175027,57.6,,42.6,61,0.290611,0.223102599,55
1998,Canada,,34889.67131,78.62365854,,100,59.735,16.07657167,17.73439489,0.5
1998,Guinea,,608.6440228,52.049,,,,0.17048387,0.269838956,
1999,Andorra,,32966.25233,,,100,,7.812961694,31.37613282,
1999,Austria,,37664.94328,77.87560976,,100,56.215,7.889457434,53.18724835,0.2
1999,Burundi,,319.1358008,47.528,,2.070949316,,0.037830613,0.012944607,
1999,Cameroon,,1124.900477,52.695,,40.70677567,,0.325764256,0.040819178,
1999,"Gambia, The",,651.7491895,56.816,,26.57294083,,0.186108261,0.380021754,
1999,Iceland,,40725.88604,79.35121951,,100,80.937,7.626297403,62.17501243,
1999,"Korea, Dem. People's Rep.",,,60.798,,,,2.87079686,0,
1999,"Korea, Rep.",,15714.41195,75.4097561,,100,56.753,8.620916931,50.39230494,
1999,Malta,,14455.76476,77.5,,100,,6.216039094,9.480481436,
1999,Moldova,,1316.605709,65.561,,100,,2.508818947,0.418221638,33.5
1999,New Caledonia,,,73.87560976,,100,,,11.72173657,
1999,Norway,,66094.73546,78.28292683,,100,71.132,8.898066816,59.70226855,
1999,Portugal,,18231.83976,75.96341463,,100,57.884,6.088143194,45.64926761,
1999,Somalia,,,50.525,,,,0.059467022,0,
1999,Bhutan,,1110.067304,62.23,,,,0.662936304,0,
1999,Ghana,,1008.833684,58.03,,40.74053955,80.8,0.303434501,0.365160156,
1999,Canada,,36393.96369,78.83902439,,100,60.56,16.25847341,22.73384365,0.5
1999,Guinea,,617.7513982,52.356,,16.4,,0.175402822,0.308040578,
2000,Andorra,100,33901.1929,,,100,,7.927016355,35.61832431,
2000,Austria,100,38842.89052,78.12682927,,100,55.962,7.930858961,76.36296088,0
2000,Burundi,0.3,310.0067109,47.514,59.30361938,2.538277864,,0.041631927,0.258733033,
2000,Cameroon,10,1137.624527,52.932,68.4091568,41,,0.34516566,0.684347856,
2000,"Gambia, The",3.6,667.9653792,56.942,36.81772995,34.3,,0.170291032,0.389554649,
2000,Iceland,100,42174.66506,79.65365854,,100,82.223,7.913941786,76.3499158,
2000,"Korea, Dem. People's Rep.",1.8,,60.763,,,,3.07368163,0,
2000,"Korea, Rep.",100,16995.55919,75.9097561,,100,59.067,9.514045353,57.31396784,
2000,Malta,100,17189.56549,78.34878049,,100,46.541,5.458269566,28.66747493,
2000,Moldova,64.4,1347.092841,66.417,96.65380096,98.7317276,54.796,2.294140737,3.269378181,31.1
2000,New Caledonia,,,75.16341463,,100,,,22.54612096,
2000,Norway,100,67846.59685,78.63414634,,100,71.244,7.633790228,71.78479169,0.2
2000,Portugal,100,18795.03115,76.31463415,,100,58.488,5.99240148,64.70432962,
2000,Somalia,0.4,,50.66,,2.109353542,,0.055793379,0.917277086,
2000,Bhutan,27.6,1115.625334,62.01,,31.15,,0.662185567,0,
2000,Ghana,6.3,1020.162204,58.195,57.89746857,43.7,66.813,0.251684396,0.661284924,
2000,Canada,100,37923.48646,79.16682927,,100,61.272,16.75746674,28.44217078,0.2
2000,Guinea,0.7,620.9044564,52.479,,15.15579319,,0.179309814,0.505123746,
2001,Andorra,100,35722.54567,,,100,,7.725626659,43.39280448,
2001,Austria,100,39184.8086,78.57560976,,100,55.904,8.444656269,81.35950603,
2001,Burundi,0.3,308.645199,48.431,,2.832107544,,0.032509869,0.516817207,
2001,Cameroon,10.8,1156.050391,53.142,,46.2,57.1,0.332841657,2.693398217,25.7
2001,"Gambia, The",3.5,686.6876858,57.043,,29.92190552,,0.208591171,3.723345651,
2001,Iceland,100,43288.0763,80.6902439,,100,81.945,7.591343589,86.99086377,
2001,"Korea, Dem. People's Rep.",2,,60.745,,,,3.163637657,0,
2001,"Korea, Rep.",100,17684.05038,76.41219512,,100,59.59,9.640540826,61.71406693,
2001,Malta,100,16860.52296,78.84390244,,99.99806213,46.751,6.33313657,59.53370865,
2001,Moldova,67.8,1432.46529,66.787,,98.7572403,53.677,2.404892166,5.356503903,23.3
2001,New Caledonia,,,74.83170732,,100,,,30.05349865,
2001,Norway,100,68899.5269,78.78536585,,100,71.092,7.695417846,79.59651016,
2001,Portugal,100,19025.69569,76.81463415,,100,59.076,5.923501566,76.91550537,
2001,Somalia,0.4,,50.74,,4.68638134,,0.056169575,0.93707828,
2001,Bhutan,31.2,1176.653268,63.444,,40.24427795,,0.628794133,0,
2001,Ghana,6.9,1033.121359,58.107,,44.83725739,,0.269588732,1.207180166,
2001,Canada,100,38185.21967,79.39804878,,100,61.149,16.33143678,34.34855145,0.2
2001,Guinea,0.8,635.331826,52.662,,16.42102432,,0.185715434,0.659150668,
2002,Andorra,100,35749.94571,,,100,,7.498764979,46.28218157,
2002,Austria,100,39636.48261,78.67804878,,100,56.101,8.583836811,83.37673809,
2002,Burundi,0.3,313.4864059,49.891,,3.117390394,,0.032802231,0.782079785,
2002,Cameroon,11.8,1175.871674,53.415,,44.03639221,,0.322564368,4.408103213,
2002,"Gambia, The",3.5,645.7017321,57.08,,31.54257584,,0.194583842,6.569339709,
2002,Iceland,100,43143.46058,80.50243902,,100,80.315,7.803793088,90.49333213,
2002,"Korea, Dem. People's Rep.",2.3,,60.792,,,,3.011962183,0,
2002,"Korea, Rep.",100,18940.38422,76.76585366,,100,60.545,9.675782441,68.34749881,
2002,Malta,100,17164.59839,78.73902439,,100,46.891,5.855003801,68.41109071,
2002,Moldova,71.3,1547.777776,66.938,,99,53.308,2.467004536,8.154633404,13.6
2002,New Caledonia,,,75.10243902,,100,,,34.72237293,
2002,Norway,100,69472.98367,78.98780488,,100,71.13,7.575979599,83.50890769,
2002,Portugal,100,19067.65543,77.06585366,,100,59.224,6.29627863,83.11831542,
2002,Somalia,0.4,,50.731,,7.4,,0.060673016,1.062574706,
2002,Bhutan,34.9,1272.631803,64.078,,44.1191864,,0.664762668,0,
2002,Ghana,7.6,1050.344019,58.608,,46.83095932,,0.321302402,1.863228278,
2002,Canada,100,38912.20974,79.53073171,,100,61.737,16.72041069,37.90258971,0.2
2002,Guinea,0.8,657.8567571,53.278,,17.67770958,61.486,0.190083926,1.05822129,53.2
2003,Andorra,100,37250.31269,,,100,,7.238069466,70.21296747,
2003,Austria,100,39815.22195,78.63170732,,100,56.325,9.169316756,89.58013346,0.3
2003,Burundi,0.3,300.086153,50.857,,3.401133537,,0.024953191,0.932829566,
2003,Cameroon,12.8,1206.610512,53.883,,45.09002686,,0.318325561,6.585413547,
2003,"Gambia, The",3.3,670.6609409,57.586,,27.8,,0.189113281,9.532279824,50.7
2003,Iceland,100,43763.77561,80.96341463,,100,79.762,7.689977584,96.50415285,0
2003,"Korea, Dem. People's Rep.",2.6,,69.546,,,,3.058577755,0,
2003,"Korea, Rep.",100,19435.49341,77.21463415,,100,59.813,9.686601174,70.6603768,
2003,Malta,100,17746.78468,78.54634146,,100,46.554,6.543195629,71.26528867,
2003,Moldova,74.6,1654.583903,67.419,,98.78961945,53.596,2.674774507,11.62540529,5.6
2003,New Caledonia,,,75.27073171,,100,,,41.38014786,
2003,Norway,100,69719.31227,79.3902439,,100,69.733,8.146326663,88.95247425,0.2
2003,Portugal,100,18819.44374,77.2195122,,100,58.184,5.786847294,95.50631584,0.9
2003,Somalia,0.5,,50.614,,9.821804047,,0.059180505,2.049541518,
2003,Bhutan,38.5,1338.508646,64.696,,41.1,,0.595200015,0.35532683,13.4
2003,Ghana,8.1,1075.371878,59.111,,48.3,,0.299162935,3.729709922,
2003,Canada,100,39257.7619,79.71512195,,100,62.444,17.20835919,42.03425423,0.2
2003,Guinea,0.8,651.305257,53.678,29.70401955,18.9328537,,0.194693405,1.271053027,
2004,Andorra,100,38696.51279,,,100,,7.286756008,75.86601328,
2004,Austria,100,40651.22662,79.1804878,,100,54.576,9.275870702,97.80672818,0.1
2004,Burundi,0.3,303.11967,52.01,,3.690343857,,0.022414169,1.412261168,
2004,Cameroon,13.8,1256.69365,54.178,,47.1,,0.304746027,9.107210028,
2004,"Gambia, The",3.3,697.4724524,58.088,,34.78630066,,0.195134054,10.85456434,
2004,Iceland,100,46766.01687,80.99756098,,100,78.586,7.908920342,99.21603503,0.2
2004,"Korea, Dem. People's Rep.",2.9,,69.437,,,,3.103424662,0,
2004,"Korea, Rep.",100,20364.75997,77.66585366,,100,60.547,10.10574342,76.65647019,
2004,Malta,100,17652.71812,79.25365854,,100,45.447,6.474475911,74.86998469,
2004,Moldova,77.9,1781.425746,67.861,,99.1,51.6,2.685027018,19.4465228,6.6
2004,New Caledonia,,,75.47073171,,100,48.52,,48.79257822,
2004,Norway,100,72091.0133,79.84146341,,100,69.471,8.134915536,98.52955299,0.3
2004,Portugal,100,19110.32084,77.67073171,,100,57.632,5.926137327,100.6625516,0.5
2004,Somalia,0.5,,50.538,,12.39421177,,0.057080142,4.942003611,
2004,Bhutan,42.8,1385.39643,65.268,,51.8713913,,0.482329755,2.94434846,
2004,Ghana,9.05,1105.685636,59.191,,50.820755,,0.270459231,7.737449309,
2004,Canada,100,40093.80734,79.99219512,,100,62.638,16.79418597,47.06742374,0.2
2004,Guinea,0.8,652.50422,54.117,,20.19346619,,0.197845361,1.728594195,
2005,Andorra,100,39307.15932,,,100,,7.206273645,80.87590509,
2005,Austria,100,41281.27076,79.33170732,,100,55.135,9.266405512,105.3234981,0.2
2005,Burundi,0.3,294.7387734,53.023,,3.207317073,,0.021789518,2.070680864,
2005,Cameroon,14.7,1250.058883,54.362,,47.2206955,,0.290376286,13.03899105,
2005,"Gambia, The",3.3,661.3219111,58.394,,30.4562675,,0.198449982,14.90500901,
2005,Iceland,100,48850.76586,81.50243902,,100,79.281,7.620461423,95.31357313,0
2005,"Korea, Dem. People's Rep.",3.3,,69.285,,,,3.223030497,0,
2005,"Korea, Rep.",100,21197.19909,78.16829268,,100,60.376,9.982494185,80.06403189,
2005,Malta,100,18134.05204,79.3,92.36309052,100,45.675,6.503662396,78.97944457,
2005,Moldova,81.1,1919.697986,68.169,,98.6,51.727,2.829921235,27.2355901,10.9
2005,New Caledonia,,,75.72195122,,100,,,55.44909784,
2005,Norway,100,73524.25492,80.04146341,,100,69.03,7.865911966,102.8281314,0.2
2005,Portugal,100,19224.03465,78.07073171,,100,57.171,6.233623051,108.7804944,0.5
2005,Somalia,0.6,,50.661,,14.97909451,,0.055468024,4.776784674,
2005,Bhutan,46.6,1456.479788,65.805,52.81468964,59.80811164,58.59,0.596119839,5.427220223,
2005,Ghana,9.95,1140.186427,59.76,,41.25,,0.281420358,12.77755372,42.5
2005,Canada,100,40989.52682,80.11268293,,100,62.604,17.0275681,52.82047544,0.2
2005,Guinea,0.8,658.8943813,54.632,,20.2,,0.200829005,2.067807907,
2006,Andorra,100,40994.46687,,,100,,6.805400082,86.01844926,
2006,Austria,100,42496.35105,79.8804878,,100,55.834,8.962101511,112.2552739,0.1
2006,Burundi,0.3,299.7691208,53.869,,2.66,75.003,0.025018967,2.611583155,71.8
2006,Cameroon,15.7,1262.871906,54.856,,49,,0.286834797,17.66597472,
2006,"Gambia, The",3.1,638.0769465,59.06,,38.07969666,,0.208730937,23.62802651,
2006,Iceland,100,50731.69069,81.15853659,,100,80.13,7.610227071,99.29358371,0.1
2006,"Korea, Dem. People's Rep.",3.7,,69.085,,,,3.257050604,0,
2006,"Korea, Rep.",100,22196.20775,78.66829268,,100,60.486,10.07162061,83.65798395,0.2
2006,Malta,100,18521.63838,79.43902439,,100,45.771,6.539717943,84.33187905,0.5
2006,Moldova,83.8,2017.442634,68.479,,98.896492,55.618,2.768202482,34.44683759,2
2006,New Caledonia,,,76.07560976,97.30000305,100,,,63.10175667,
2006,Norway,100,74729.76321,80.34390244,,100,69.414,7.983947396,104.4588097,0.1
2006,Portugal,100,19501.23301,78.4195122,,100,57.316,5.744758174,115.9569577,0.1
2006,Somalia,0.7,,50.597,,15.23378582,,0.053926885,5.099688242,
2006,Bhutan,50.5,1535.427874,66.362,,59.67326355,59.6,0.590410837,12.19112973,
2006,Ghana,10.7,1181.558981,59.988,,55.09345008,67.3,0.337618069,22.5435531,
2006,Canada,100,41646.41464,80.54365854,,100,62.836,16.59521392,57.63302795,0.2
2006,Guinea,0.8,653.1193781,55.108,,22.75889397,,0.203780561,,
2007,Andorra,100,42724.58727,,,100,,6.890389929,81.23912599,
2007,Austria,100,43937.71289,80.1804878,,100,56.893,8.588766398,119.4976758,0.4
2007,Burundi,0.2,298.9366604,54.727,,4.654745102,,0.024179919,3.398531004,
2007,Cameroon,16.7,1281.392485,55.165,70.67993927,48.2,79.224,0.335938254,24.85225346,31.4
2007,"Gambia, The",3,637.5310007,59.394,,39.75686264,,0.231743407,45.34980506,
2007,Iceland,100,53646.36902,81.45365854,,100,80.793,7.648363429,104.5678573,0.1
2007,"Korea, Dem. People's Rep.",4.2,,68.911,,,,2.694713273,0,
2007,"Korea, Rep.",100,23365.14021,79.1195122,,100,60.563,10.34626459,92.01288263,
2007,Malta,100,19338.43062,79.79268293,,100,46.626,6.676763604,89.43144673,0.4
2007,Moldova,86.1,2082.786528,68.947,,98.96995544,57.228,2.831716533,48.56606264,1
2007,New Caledonia,,,76.47804878,,100,,,70.71906066,
2007,Norway,100,76115.70667,80.39512195,,100,70.828,8.018448328,106.9661048,0.1
2007,Portugal,100,19950.8441,78.32195122,,100,57.25,5.576951605,127.559973,0.3
2007,Somalia,0.7,,50.515,,20.20820808,,0.056088761,5.396609418,
2007,Bhutan,54.3,1795.071788,66.954,,71.8,,0.58494984,21.92428559,5.9
2007,Ghana,11.7,1201.210818,60.224,,56.91041946,,0.355086316,32.07335231,
2007,Canada,100,42098.43122,80.54365854,,100,63.307,17.38063077,61.70384455,0.2
2007,Guinea,0.8,681.8281758,55.553,,24.07207298,,0.207236096,20.94880928,47.9
2008,Andorra,100,41470.45741,,,100,,7.081822365,84.41522582,
2008,Austria,100,44440.05589,80.43170732,,100,57.558,8.500238419,129.9823149,0.5
2008,Burundi,0.3,300.8413492,55.71,48.08406067,4.8,,0.024003066,5.805480455,
2008,Cameroon,17.6,1281.019837,55.655,,50.55208206,,0.340494883,32.81070684,
2008,"Gambia, The",2.9,656.7039095,60.082,,41.45125198,,0.234930037,64.05433107,
2008,Iceland,100,53821.47082,81.6097561,,100,79.495,6.87628775,106.0453551,0.1
2008,"Korea, Dem. People's Rep.",4.7,,68.958,99.99819183,,,2.976474727,0,
2008,"Korea, Rep.",100,23887.05955,79.51707317,97.96594238,100,60.135,10.49694353,94.23198088,0.2
2008,Malta,100,19948.17139,79.63658537,,100,47.055,6.654713603,93.28353515,0.1
2008,Moldova,88.2,2249.521754,69.394,,99.06063843,58.338,2.840876412,63.56631034,1
2008,New Caledonia,,,76.6804878,,100,,,77.63407975,
